Account,Identifier,Account ID,Transaction Id,Currency,Transaction Type,Post Date,Amount
LCFHR - PNC Trading 9924,CCYUSD,369038,1710390413,USD,Cash Transfer,11/12/2025,-81780.00
LCC-PNC-8268,CCYUSD,369052,1710390172,USD,Cash Transfer,11/12/2025,-81770.70
LCF-PNC-Trading Loan8877,CCYUSD,369043,1707275468,USD,Cash Transfer,11/6/2025,-80000.00
LCC_ICBORR,CCYUSD,403322,1708518014,USD,Cash Transfer,11/6/2025,-63878.30
LCFHR - PNC Trading 9924,CCYUSD,369038,1704283898,USD,Cash Transfer,11/3/2025,-52732.00
LCC-PNC-8268,CCYUSD,369052,1704283913,USD,Cash Transfer,11/3/2025,-52732.00
LCI - PNC - Trading 6012,CCYUSD,369037,1704283910,USD,Cash Transfer,11/3/2025,-50000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1704283896,USD,Cash Transfer,11/3/2025,-50000.00
LCREP-PNC-Trading7277,CCYUSD,369050,1709649716,USD,Cash Transfer,11/10/2025,-37000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1715446335,USD,Cash Transfer,11/18/2025,-30000.00
LCC-PNC-8268,CCYUSD,369052,1715446344,USD,Cash Transfer,11/18/2025,-29866.10
