Account,Identifier,Account ID,Transaction Id,Currency,Transaction Type,Post Date,Amount
LCFHR-CASH MGMT,CCYUSD,539769,1704614671,USD,Cash Transfer,11/3/2025,8025016.67
LCFP3-JPM FIPB-2LDD,CCYUSD,369007,1713658443,USD,Cash Transfer,11/17/2025,8600000.00
LCFP3-JPM FIPB-2LDD,CCYUSD,369007,1705203322,USD,Cash Transfer,11/4/2025,9900000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1718368859,USD,Cash Transfer,11/21/2025,9975000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1718368865,USD,Cash Transfer,11/21/2025,9975000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1719434866,USD,Cash Transfer,11/24/2025,10000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1709649667,USD,Cash Transfer,11/10/2025,10000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1715446333,USD,Cash Transfer,11/18/2025,10000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1717299740,USD,Cash Transfer,11/20/2025,10000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1719434893,USD,Cash Transfer,11/24/2025,10000000.00
LCFHR-BNY MMF-6284,CCYUSD,369188,1711558501,USD,Cash Transfer,11/13/2025,10000000.00
LCFHR-CASH MGMT,CCYUSD,539769,1705745251,USD,Cash Transfer,11/4/2025,10000000.00
LCFP3-JPM FIPB-2LDD,CCYUSD,369007,1709408211,USD,Cash Transfer,11/10/2025,10170000.00
LCFP3-JPM FIPB-2LDD,CCYUSD,369007,1720636302,USD,Cash Transfer,11/25/2025,10218000.00
LCFHR-BNY MMF-6284,CCYUSD,369188,1718194853,USD,Cash Transfer,11/21/2025,12000000.00
LCF-PNC-Trading9916,CCYUSD,369041,1717299765,USD,Cash Transfer,11/20/2025,13080000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1717299748,USD,Cash Transfer,11/20/2025,13387500.00
LCC-PNC-8268,CCYUSD,369052,1717299769,USD,Cash Transfer,11/20/2025,13387500.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1717299725,USD,Cash Transfer,11/20/2025,13500000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1721888997,USD,Cash Transfer,11/25/2025,13833801.58
LCFHR - PNC Trading 9924,CCYUSD,369038,1710390417,USD,Cash Transfer,11/12/2025,14078263.67
LCFHR - PNC Trading 9924,CCYUSD,369038,1711572938,USD,Cash Transfer,11/13/2025,14480161.80
LTRS1-PNC-Trading5984,CCYUSD,369039,1721859806,USD,Cash Transfer,11/25/2025,15500000.00
LCF-PNC-Trading9916,CCYUSD,369041,1721860015,USD,Cash Transfer,11/25/2025,15500000.00
LCC-PNC-8268,CCYUSD,369052,1721859818,USD,Cash Transfer,11/25/2025,15500000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1718368862,USD,Cash Transfer,11/21/2025,15512681.98
LCFHR - PNC Trading 9924,CCYUSD,369038,1704283892,USD,Cash Transfer,11/3/2025,16160000.00
LCI - PNC - Trading 6012,CCYUSD,369037,1714389393,USD,Cash Transfer,11/17/2025,16500000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1714404889,USD,Cash Transfer,11/17/2025,16500000.00
LCFHR-BNY MMF-6284,CCYUSD,369188,1704166487,USD,Cash Transfer,11/3/2025,16500000.00
